"No.","Time","Source","Destination","Protocol","Length","Info"
"2806","38821.545726","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2807","38821.933724","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2810","38841.545943","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2811","38841.928215","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2812","38861.546878","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2813","38861.930635","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2816","38881.547302","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2817","38881.909069","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2818","38882.989607","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"2819","38882.994990","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"2820","38883.377183","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2821","38883.377187","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2822","38901.548474","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
